Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C20H24,17077567.6,1.55173E-06,-0.001551727,-0.005873575
C21H26,20035192.38,2.62459E-05,-0.026245861,-0.09434053
C22H28,35483503.82,2.38208E-05,0.023820847,0.081517078
C23H30,36327812.59,3.19173E-06,-0.00319173,-0.010422494
C24H32,38894229.77,3.06381E-05,-0.030638093,-0.09566918
C25H34,59305613.16,6.16908E-05,0.061690784,0.184555935
C26H36,76995805.39,3.91347E-05,0.039134718,0.112365127
C27H38,102230198.9,7.79192E-05,-0.077919167,-0.215069658
C28H40,129440212,7.51968E-05,0.07519678,0.199825093
C29H42,178361272.4,0.000116398,0.11639778,0.298204549
C30H44,144137232.5,9.28314E-05,-0.092831398,-0.229585027
C31H46,119284056.9,9.49596E-05,0.094959551,0.226980499
C32H48,133455621.7,0.000145427,0.145426601,0.336343217
C33H50,140180190.1,0.000116723,0.116723283,0.261482014
C34H52,140168513.4,0.00010319,0.103190422,0.224128748
C35H54,132283819.6,0.000209761,0.209761238,0.442140107
C36H56,100329314,2.45754E-05,-0.024575374,-0.050314194
C37H58,99421582.54,0.000103175,-0.103175449,-0.205343134
C38H60,91689960.06,0.000107107,-0.107106745,-0.207382516
C39H62,94759008.23,4.27438E-05,-0.042743849,-0.080575016
C40H64,96427200.37,0.000111246,-0.111245752,-0.204307784
C41H66,72603581.22,7.01018E-05,0.070101808,0.125514312
C42H68,68387225.4,0.000114131,0.114130974,0.199344235
C43H70,60181723.21,0.00011326,0.113260187,0.193096277
C44H72,54006331.73,0.000131179,0.131178959,0.218426495
C45H74,46845948.46,6.45476E-05,0.064547555,0.105027262
C46H76,42882688.99,0.00018272,-0.182719719,-0.290679699
C47H78,37985929.57,0.000190963,0.190962637,0.297167072
C48H80,31396372.43,0.000118013,0.118013041,0.17972642
C49H82,26400079.49,8.072E-05,0.080720008,0.120362354
C50H84,26735309.21,0.000165141,0.165140507,0.241201703
C51H86,22383706.86,0.000201088,0.201087641,0.287813691
C52H88,21020867.66,0.000166733,0.166732974,0.233949264
