Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C25H30,17102219.31,3.08166E-05,0.030816618,0.093317309
C26H32,16957008.46,3.17121E-05,0.031712141,0.092119403
C27H34,16808366.85,3.76364E-05,0.037636374,0.105051466
C28H36,17892316.05,4.64855E-05,0.046485494,0.12486645
C29H38,18722705.86,9.51172E-06,-0.009511716,-0.024622783
C30H40,18626823.7,3.39953E-05,0.03399527,0.084921723
C31H42,17739788.45,2.88796E-05,0.028879563,0.069702067
C32H44,15254973.13,3.23467E-05,0.032346672,0.075515587
C33H46,14869844.62,1.80665E-05,-0.018066515,-0.040841209
C34H48,13320921.49,5.25437E-05,-0.052543662,-0.115132495
C35H50,16031196.39,8.91138E-05,0.089113767,0.189446056
C36H52,12782401.3,1.8597E-05,-0.01859699,-0.038391256
C37H54,10102983.83,1.48615E-06,-0.001486151,-0.002981709
C38H56,9025852.721,2.85365E-05,0.028536478,0.055687648
C39H58,8557105.688,4.68601E-05,0.046860124,0.089010887
C40H60,8505891.948,2.4608E-05,0.024608019,0.045530819
C41H62,7293131.604,2.61162E-05,0.026116187,0.047099886
C42H64,7609423.302,1.08106E-06,0.001081056,0.001901591
C43H66,5374116.211,4.68892E-05,-0.046889177,-0.080494168
C44H68,5031450.149,2.02271E-05,0.020227077,0.033907777
C45H70,4144204.922,4.99136E-05,-0.049913619,-0.081752195
C46H72,3795115.837,4.2125E-05,-0.042124955,-0.067447044
C47H74,3235263.583,4.1396E-05,-0.041395998,-0.064825174
C48H76,3044605.72,7.63697E-05,-0.076369658,-0.117024636
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C16H10,2096458.734,1.42579E-05,-0.014257948,-0.070556567
C18H14,3587397.099,9.91143E-06,-0.00991143,-0.043072657
C19H16,6782971.834,4.81767E-06,0.004817666,0.019734406
C20H18,11690863.3,3.69465E-06,0.003694647,0.014312522
C21H20,14129910.48,5.64096E-06,0.005640963,0.020726909
C22H22,15338985.46,7.1688E-06,0.007168797,0.025050643
C23H24,13644422.83,8.36538E-06,0.008365384,0.027867169
C24H26,15997453.33,2.97246E-05,0.029724604,0.094603046
C25H28,19251927.54,2.73308E-05,0.027330754,0.083269845
C26H30,23339572.31,1.83544E-05,0.018354428,0.053631106
C27H32,20476573.77,3.29295E-05,0.03292951,0.092433608
C28H34,19113147.91,3.92217E-05,0.039221686,0.105928388
C29H36,19951392.94,6.61991E-05,0.066199109,0.172267139
C30H38,15601203.8,2.39449E-07,0.000239449,0.000601182
C31H40,16367297.27,6.7563E-06,0.006756297,0.01638633
C32H42,17760480.75,6.99623E-05,0.069962349,0.164104262
C33H44,14358721.77,5.18323E-06,0.005183232,0.011770862
C34H46,12543074.46,4.00498E-05,-0.040049807,-0.088145549
C35H48,11378953.11,5.14989E-05,-0.05149891,-0.109952163
C36H50,11418087.7,2.88258E-05,0.028825819,0.059756097
C37H52,9751398.831,1.21115E-05,0.012111532,0.024398395
C38H54,7831826.2,2.9883E-05,-0.029882962,-0.058545536
C39H56,8118269.235,5.1757E-05,-0.051756957,-0.098690288
C40H58,7844755.952,4.14122E-05,0.041412197,0.076909464
C41H60,6864273.527,9.3363E-06,-0.009336302,-0.016899217
C42H62,7148928.341,5.8728E-05,-0.058727997,-0.103670849
C43H64,6018736.563,5.3469E-05,0.053468951,0.092108315
C44H66,4025961.055,5.97982E-06,-0.005979816,-0.010058284
C45H68,4787432.954,2.45214E-05,0.024521413,0.040296005
C46H70,3834019.856,0.000133004,-0.133004286,-0.213645115
C47H72,3883914.705,7.05951E-05,-0.070595083,-0.110900317
C48H74,3748737.054,8.55542E-05,-0.085554249,-0.131504771
C49H76,2951273.673,1.1135E-05,0.011135045,0.01675464
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C19H14,4222735.728,6.02599E-06,-0.006025993,-0.024889531
C20H16,15447951.61,1.13771E-05,0.011377087,0.04442002
C21H18,18976748.08,3.75492E-06,0.00375492,0.013899861
C22H20,21511465.37,1.2005E-05,0.012005046,0.042248006
C23H22,16749588.1,1.52808E-05,0.015280792,0.05124822
C24H24,17079626.51,2.44822E-05,0.024482157,0.078421249
C25H26,20791837.21,1.4205E-05,0.014205029,0.043546531
C26H28,19446074.62,3.22809E-05,0.032280927,0.094882758
C27H30,17378331.25,1.00421E-05,0.01004207,0.028348629
C28H32,17573808.33,2.81375E-06,-0.00281375,-0.00764086
C29H34,17713510.11,4.83839E-06,0.004838394,0.012657139
C30H36,16185389.63,1.40186E-05,0.014018568,0.035375261
C31H38,16193591.3,9.41807E-06,-0.009418072,-0.022954261
C32H40,15140657.56,2.17139E-05,0.021713934,0.051174331
C33H42,15777972.2,7.47928E-05,0.074792781,0.170631742
C34H44,12172303.55,5.69141E-06,0.00569141,0.012582032
C35H46,12797311.53,5.28292E-05,0.052829198,0.113279878
C36H48,13443380.19,4.8717E-05,0.048717003,0.101414398
C37H50,9476807.168,1.19716E-05,0.011971621,0.024214872
C38H52,7618270.47,5.42625E-07,0.000542625,0.001067305
C39H54,9669641.69,6.05138E-05,0.060513793,0.115833041
C40H56,7402881.816,5.99666E-05,-0.059966632,-0.111786655
C41H58,6726869.588,2.30189E-05,0.023018933,0.041818097
C42H60,5402474.409,5.99964E-05,-0.059996432,-0.106288172
C43H62,5368251.967,1.48074E-05,0.014807433,0.025596911
C44H64,4616071.672,4.12948E-06,-0.004129479,-0.006969576
C45H66,3535926.247,8.93433E-05,-0.089343316,-0.147305676
C46H68,4027423.192,2.02218E-06,-0.002022179,-0.003258783
C47H70,4014899.002,2.50806E-05,0.025080629,0.039525203
C48H72,2365073.69,0.000148941,-0.148940551,-0.229646863
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C20H14,2000753.612,9.47807E-06,0.009478066,0.037299134
C21H16,5083433.163,1.66536E-05,0.016653588,0.062111239
C22H18,13767985.56,4.96264E-06,0.004962643,0.017589238
C23H20,16496527.04,1.48627E-05,0.014862677,0.050185211
C24H22,22612591.73,2.57513E-05,0.025751277,0.083022531
C25H24,22276361.39,1.57728E-05,0.01577283,0.048653372
C26H26,21434578.08,8.37378E-06,0.00837378,0.024759593
C27H28,17879828.64,2.15145E-06,0.002151454,0.006108284
C28H30,17934284.32,3.32877E-05,0.033287689,0.090891672
C29H32,17688966.71,4.79771E-05,0.047977087,0.126172351
C30H34,17297385.32,2.70707E-05,0.02707075,0.068661123
C31H36,15790717.52,4.09195E-05,0.040919528,0.100223762
C32H38,14353718.15,4.82193E-06,-0.004821927,-0.011418321
C33H40,13667524.21,1.55967E-05,-0.015596698,-0.035746581
C34H42,12864858.88,2.306E-05,0.023060013,0.051207076
C35H44,10543645.58,7.66097E-06,0.007660972,0.016498474
C36H46,11894632.14,3.45633E-05,-0.03456327,-0.072253686
C37H48,8520934.317,5.25708E-06,0.005257076,0.010676962
C38H50,8846432.996,5.19499E-05,0.051949881,0.102588425
C39H52,6978720.774,6.1912E-06,-0.006191199,-0.011896843
C40H54,6173681.977,2.08825E-05,-0.020882521,-0.039074925
C41H56,5390935.094,5.50952E-05,-0.055095234,-0.100458418
C42H58,6222366.092,5.65539E-05,-0.056553886,-0.100548491
C43H60,4841148.453,8.58804E-05,-0.085880449,-0.148976571
C44H62,4942211.633,2.94855E-06,0.002948548,0.004993432
C45H64,4884987.475,6.47755E-05,0.064775494,0.107155349
C46H66,4480892.82,6.3505E-06,-0.006350499,-0.010267308
C47H68,2922996.715,1.95596E-05,0.019559602,0.030922703
C48H70,3048123.939,5.18506E-05,-0.051850601,-0.080196088
C49H72,2832646.653,0.000100706,-0.100706146,-0.152454928
C50H74,2652381.206,9.58938E-05,0.095893809,0.142153554
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C20H12,3531441.74,2.43095E-05,-0.024309528,-0.09643045
C21H14,8106666.048,4.61387E-06,-0.00461387,-0.017338237
C22H16,18230971.57,1.21556E-05,0.012155561,0.043393316
C23H18,21340894.46,8.17911E-06,0.008179111,0.027806784
C24H20,22231982.16,2.55814E-05,0.025581364,0.083014194
C25H22,24358408.81,2.68628E-05,0.026862792,0.083380242
C26H24,23370315.09,4.57347E-05,0.045734723,0.13603921
C27H26,19482678.63,3.3215E-05,0.033215049,0.094845008
C28H28,16347148.28,2.27737E-05,0.022773673,0.062527398
C29H30,16295802.59,3.05192E-05,0.030519159,0.080688406
C30H32,17906433.39,2.65347E-05,0.026534714,0.067647385
C31H34,14970588.46,8.85487E-06,-0.008854869,-0.021795739
C32H36,13189946.74,1.62876E-05,-0.016287619,-0.038754052
C33H38,13232665.51,1.36435E-05,0.013643457,0.031415013
C34H40,13635259.87,2.29844E-05,0.022984386,0.051268613
C35H42,11642410.11,4.71377E-06,0.00471377,0.010195713
C36H44,10575886.86,1.13322E-05,0.011332232,0.023790003
C37H46,9326134.697,2.96043E-06,-0.002960426,-0.006037251
C38H48,8220356.48,5.05156E-05,0.050515622,0.100154769
C39H50,7479161.839,3.23639E-05,0.03236385,0.062431321
C40H52,7439677.576,3.54979E-05,0.035497896,0.066674373
C41H54,4786096.196,4.24205E-05,-0.042420549,-0.077633233
C42H56,5242648.163,7.88827E-06,-0.007888266,-0.014075175
C43H58,5715181.725,2.91482E-05,-0.02914816,-0.050740648
C44H60,3964935.43,6.56163E-05,-0.065616324,-0.111503355
C45H62,3570448.014,5.12366E-05,-0.051236631,-0.085042147
C46H64,2408747.228,3.50439E-05,-0.035043856,-0.056843163
