Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C52H94,18910989.91,7.2019E-05,0.072018959,0.100202305
C53H96,16524127.75,0.000199237,-0.199236532,-0.271902019
C54H98,13906984.36,0.000117003,0.117002792,0.156679145
C55H100,12152425.07,0.000245471,-0.245470713,-0.32265557
C56H102,12798335.21,0.000130159,-0.130158852,-0.167990659
C57H104,9082620.306,0.000372575,-0.372575227,-0.472323412
C58H106,8291694.336,0.000396823,0.396823413,0.494281085
C59H108,7793580.689,0.000228388,-0.228387767,-0.2795974
C60H110,7803454.274,0.00043729,-0.43729041,-0.526310104
C61H112,5247802.181,0.000195126,-0.195125792,-0.230951878
C64H118,3876600.576,0.000108394,0.108393504,0.122212932
C65H120,3159549.021,0.00043259,0.432590489,0.480155135
C67H124,4878902.554,0.000340147,0.340146562,0.366154397
C70H130,4306137.884,3.53881E-05,0.035388055,0.036444311
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C12H12,3499123.097,5.20867E-05,0.052086712,0.333688322
C13H14,3965369.143,5.85078E-05,0.058507763,0.343941671
C14H16,24603045.63,3.75473E-05,0.037547308,0.203922701
C15H18,2884634.795,1.37185E-05,0.013718484,0.069236023
C16H20,3721199.944,5.44111E-06,-0.005441113,-0.025646694
C17H22,4703005.562,8.96916E-06,-0.008969163,-0.039656352
C18H24,5970922.056,1.18758E-05,-0.011875841,-0.049443982
C19H26,7767711.643,8.45247E-06,-0.008452468,-0.033250799
C20H28,7824750.915,4.02526E-05,-0.040252572,-0.150073472
C21H30,8140338.15,3.46833E-05,-0.034683287,-0.122888082
C22H32,12420137.42,3.34036E-05,-0.033403575,-0.112754531
C23H34,17850950.89,2.3126E-05,-0.023126013,-0.074536074
C24H36,26789279.59,1.48781E-05,0.014878124,0.045880246
C25H38,38741980.25,6.1553E-05,0.061552978,0.181949336
C26H40,45328004.05,6.61537E-06,0.006615369,0.018776966
C27H42,56583608.92,9.13398E-05,-0.09133982,-0.249338455
C28H44,81624142.27,2.16271E-05,-0.021627117,-0.056861945
C29H46,116150950.7,8.27684E-05,0.082768357,0.209880229
C30H48,105814629.9,4.54046E-05,-0.045404577,-0.111183373
C31H50,101692061.7,1.74331E-05,0.01743313,0.041272469
C32H52,100259943.2,1.38927E-05,0.013892698,0.031834276
C33H54,120439199.5,0.000143635,0.143635022,0.318889498
C34H56,125555151.7,0.000106605,-0.106605089,-0.229535574
C35H58,110376283.6,2.68227E-05,0.026822691,0.056061187
C36H60,105486544,9.23007E-05,0.092300685,0.187424164
C37H62,107788535.5,0.00013677,0.136769908,0.270037349
C38H64,91780960.13,0.000123349,-0.123349387,-0.236982127
C39H66,90643445.92,0.000108275,-0.108274641,-0.202565592
C40H68,92210786.66,1.52208E-05,-0.015220803,-0.027748245
C41H70,76103112.23,1.18302E-05,-0.011830212,-0.021029702
C42H72,65271603.66,0.000148246,-0.148245992,-0.257120018
C43H74,59489157.78,3.78908E-05,-0.037890753,-0.064158648
C44H76,57970207.19,0.00020075,0.200750173,0.332040906
C45H78,43502681.88,0.000147085,0.147084898,0.237766629
C46H80,40594228.35,0.000216645,0.216645089,0.342453659
C47H82,36883961.98,0.000107302,-0.10730176,-0.165936975
C48H84,32161272.69,0.000205857,0.205857068,0.311594328
C49H86,29268291.9,0.000114735,0.114735169,0.170060425
C50H88,23685830.56,2.38107E-05,0.023810702,0.034573974
C51H90,21038288.05,9.76021E-05,0.097602062,0.138894936
C52H92,20263589.95,0.000224254,-0.224254452,-0.312889946
C53H94,17104710.86,0.000108036,-0.108036163,-0.147845773
C54H96,16412126.71,0.000324129,-0.324128962,-0.435217776
C55H98,11826859.3,0.000280846,0.28084622,0.370135066
C56H100,11006030.49,0.000213013,0.213012804,0.275643927
C57H102,8794756.747,0.000320835,0.320835243,0.407773254
C58H104,10473866.11,0.000344639,-0.344639014,-0.430360981
C59H106,7834212.343,0.000388653,0.388652738,0.476974337
C60H108,7544247.15,0.000473625,0.473625393,0.571428113
C61H110,5920063.084,0.000502118,0.502117514,0.595730092
C62H112,7104986.01,6.49797E-06,-0.006497967,-0.007583319
C63H114,5799575.911,2.78714E-05,-0.027871408,-0.032003287
C64H116,3715583.976,0.000357662,-0.357661735,-0.404179706
C65H118,4249131.055,0.000219369,-0.219369287,-0.244035585
C66H120,3802564.141,0.000112935,-0.112934803,-0.123704653
C67H122,4408670.119,0.000491378,-0.491378081,-0.530099373
C68H124,3100101.627,0.000200193,-0.200192911,-0.212751571
C70H128,3567922.514,0.000521547,-0.521547484,-0.538231806
C74H136,3013535.236,0.000252497,-0.252497494,-0.246323589
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H12,7626416.394,7.07727E-05,0.070772747,0.421031022
